length_from,length_to,severely_wasted,wasted_from,wasted_to,normal_from,normal_to,overweight_from,overweight_to,obese
65.0,65.2,5.8,5.9,6.2,6.3,8.8,8.9,9.6,9.7
65.3,65.7,5.9,6.0,6.3,6.4,8.9,9.0,9.8,9.9
65.8,66.2,6.0,6.1,6.4,6.5,9.1,9.2,9.9,10.0
66.3,66.7,6.0,6.1,6.5,6.6,9.2,9.3,10.1,10.2
66.8,67.2,6.1,6.2,6.6,6.7,9.4,9.5,10.2,10.3
67.3,67.7,6.2,6.3,6.7,6.8,9.5,9.6,10.4,10.5
67.8,68.2,6.3,6.4,6.8,6.9,9.6,9.7,10.5,10.6
68.3,68.7,6.4,6.5,6.9,7.0,9.8,9.9,10.7,10.8
68.8,69.2,6.5,6.6,7.0,7.1,9.9,10.0,10.8,10.9
69.3,69.7,6.6,6.7,7.1,7.2,10.0,10.1,11.0,11.1
69.8,70.2,6.7,6.8,7.2,7.3,10.2,10.3,11.1,11.2
70.3,70.7,6.8,6.9,7.3,7.4,10.3,10.4,11.3,11.4
70.8,71.2,6.8,6.9,7.4,7.5,10.4,10.5,11.4,11.5
71.3,71.7,6.9,7.0,7.5,7.6,10.6,10.7,11.6,11.7
71.8,72.2,7.0,7.1,7.6,7.7,10.7,10.8,11.7,11.8
72.3,72.7,7.1,7.2,7.7,7.8,10.8,10.9,11.8,11.9
72.8,73.2,7.2,7.3,7.8,7.9,11.0,11.1,12.0,12.1
73.3,73.7,7.3,7.4,7.8,7.9,11.1,11.2,12.1,12.2
73.8,74.2,7.3,7.4,7.9,8.0,11.2,11.3,12.2,12.3
74.3,74.7,7.4,7.5,8.0,8.1,11.3,11.4,12.4,12.5
74.8,75.2,7.5,7.6,8.1,8.2,11.4,11.5,12.5,12.6
75.3,75.7,7.6,7.7,8.2,8.3,11.6,11.7,12.6,12.7
75.8,76.2,7.6,7.7,8.3,8.4,11.7,11.8,12.8,12.9
76.3,76.7,7.7,7.8,8.4,8.5,11.8,11.9,12.9,13.0
76.8,77.2,7.8,7.9,8.4,8.5,11.9,12.0,13.0,13.1
77.3,77.7,7.9,8.0,8.5,8.6,12.0,12.1,13.1,13.2
77.8,78.2,7.9,8.0,8.6,8.7,12.1,12.2,13.3,13.4
78.3,78.7,8.0,8.1,8.7,8.8,12.2,12.3,13.4,13.5
78.8,79.2,8.1,8.2,8.7,8.8,12.3,12.4,13.5,13.6
79.3,79.7,8.2,8.3,8.8,8.9,12.4,12.5,13.6,13.7
79.8,80.2,8.2,8.3,8.9,9.0,12.6,12.7,13.7,13.8
80.3,80.7,8.3,8.4,9.0,9.1,12.7,12.8,13.8,13.9
80.8,81.2,8.4,8.5,9.1,9.2,12.8,12.9,14.0,14.1
81.3,81.7,8.5,8.6,9.2,9.3,12.9,13.0,14.1,14.2
81.8,82.2,8.6,8.7,9.2,9.3,13.0,13.1,14.2,14.3
82.3,82.7,8.6,8.7,9.3,9.4,13.1,13.2,14.4,14.5
82.8,83.2,8.7,8.8,9.4,9.5,13.3,13.4,14.5,14.6
83.3,83.7,8.8,8.9,9.5,9.6,13.4,13.5,14.6,14.7
83.8,84.2,8.9,9.0,9.6,9.7,13.5,13.6,14.8,14.9
84.3,84.7,9.0,9.1,9.8,9.9,13.7,13.8,14.9,15.0
84.8,85.2,9.1,9.2,9.9,10.0,13.8,13.9,15.1,15.2
85.3,85.7,9.2,9.3,10.0,10.1,13.9,14.0,15.2,15.3
85.8,86.2,9.3,9.4,10.1,10.2,14.1,14.2,15.4,15.5
86.3,86.7,9.4,9.5,10.2,10.3,14.2,14.3,15.5,15.6
86.8,87.2,9.5,9.6,10.3,10.4,14.4,14.5,15.7,15.8
87.3,87.7,9.6,9.7,10.4,10.5,14.5,14.6,15.8,15.9
87.8,88.2,9.7,9.8,10.5,10.6,14.7,14.8,16.0,16.1
88.3,88.7,9.8,9.9,10.6,10.7,14.8,14.9,16.1,16.2
88.8,89.2,9.9,10.0,10.7,10.8,14.9,15.0,16.3,16.4
89.3,89.7,10.0,10.1,10.8,10.9,15.1,15.2,16.4,16.5
89.8,90.2,10.1,10.2,10.9,11.0,15.2,15.3,16.6,16.7
90.3,90.7,10.2,10.3,11.0,11.1,15.3,15.4,16.7,16.8
90.8,91.2,10.3,10.4,11.1,11.2,15.5,15.6,16.9,17.0
91.3,91.7,10.4,10.5,11.2,11.3,15.6,15.7,17.0,17.1
91.8,92.2,10.5,10.6,11.3,11.4,15.8,15.9,17.2,17.3
92.3,92.7,10.6,10.7,11.4,11.5,15.9,16.0,17.3,17.4
92.8,93.2,10.7,10.8,11.5,11.6,16.0,16.1,17.5,17.6
93.3,93.7,10.8,10.9,11.6,11.7,16.2,16.3,17.6,17.7
93.8,94.2,10.9,11.0,11.7,11.8,16.3,16.4,17.8,17.9
94.3,94.7,11.0,11.1,11.8,11.9,16.5,16.6,17.9,18.0
94.8,95.2,11.0,11.1,11.9,12.0,16.6,16.7,18.1,18.2
95.3,95.7,11.1,11.2,12.0,12.1,16.7,16.8,18.3,18.4
