length_from,length_to,severely_wasted,wasted_from,wasted_to,normal_from,normal_to,overweight_from,overweight_to,obese
65.0,65.2,5.5,5.6,6.0,6.1,8.7,8.8,9.7,9.8
65.3,65.7,5.6,5.7,6.1,6.2,8.9,9.0,9.8,9.9
65.8,66.2,5.7,5.8,6.2,6.3,9.0,9.1,10.0,10.1
66.3,66.7,5.7,5.8,6.3,6.4,9.1,9.2,10.1,10.2
66.8,67.2,5.8,5.9,6.3,6.4,9.3,9.4,10.2,10.3
67.3,67.7,5.9,6.0,6.4,6.5,9.4,9.5,10.4,10.5
67.8,68.2,6.0,6.1,6.5,6.6,9.5,9.6,10.5,10.6
68.3,68.7,6.1,6.2,6.6,6.7,9.7,9.8,10.7,10.8
68.8,69.2,6.2,6.3,9.7,9.8,9.9,9.9,10.8,10.9
69.3,69.7,6.2,6.3,6.8,6.9,9.9,10.0,10.9,11.0
69.8,70.2,6.3,6.4,6.9,7.0,10.0,10.1,11.1,11.2
70.3,70.7,6.4,6.5,7.0,7.1,10.1,10.2,11.2,11.3
70.8,71.2,6.5,6.6,7.0,7.1,10.3,10.4,11.3,11.4
71.3,71.7,6.6,6.7,7.1,7.2,10.4,10.5,11.5,11.6
71.8,72.2,6.6,6.7,7.2,7.3,10.5,10.6,11.6,11.7
72.3,72.7,6.7,6.8,7.3,7.4,10.6,10.7,11.7,11.8
72.8,73.2,6.8,6.9,7.4,7.5,10.7,10.8,11.8,11.9
73.3,73.7,6.9,7.0,7.5,7.6,10.8,10.9,12.0,12.1
73.8,74.2,6.9,7.0,7.5,7.6,11.0,11.1,12.1,12.2
74.3,74.7,7.0,7.1,7.6,7.7,11.1,11.2,12.2,12.3
74.8,75.2,7.1,7.2,7.7,7.8,11.2,11.3,12.3,12.4
75.3,75.7,7.1,7.2,7.8,7.9,11.3,11.4,12.5,12.6
75.8,76.2,7.2,7.3,7.9,8.0,11.4,11.5,12.6,12.7
76.3,76.7,7.3,7.4,7.9,8.0,11.5,11.6,12.7,12.8
76.8,77.2,7.4,7.5,8.0,8.1,11.6,11.7,12.8,12.9
77.3,77.7,7.4,7.5,8.1,8.2,11.7,11.8,12.9,13.0
77.8,78.2,7.5,7.6,8.2,8.3,11.8,11.9,13.1,13.2
78.3,78.7,7.6,7.7,8.3,8.4,12.0,12.1,13.2,13.3
78.8,79.2,7.7,7.8,8.3,8.4,12.1,12.2,13.3,13.4
79.3,79.7,7.7,7.8,8.4,8.5,12.2,12.3,13.4,13.5
79.8,80.2,7.8,7.9,8.5,8.6,12.3,12.4,13.6,13.7
80.3,80.7,7.9,8.0,8.6,8.7,12.4,12.5,13.7,13.8
80.8,81.2,8.0,8.1,8.7,8.8,12.6,12.7,13.9,14.0
81.3,81.7,8.1,8.2,8.8,8.9,12.7,12.8,14.0,14.1
81.8,82.2,8.2,8.3,8.9,9.0,12.8,12.9,14.1,14.2
82.3,82.7,8.3,8.4,9.0,9.1,13.0,13.1,14.3,14.4
82.8,83.2,8.4,8.5,9.1,9.2,13.1,13.2,14.5,14.6
83.3,83.7,8.4,8.5,9.2,9.3,13.3,13.4,14.6,14.7
83.8,84.2,8.5,8.6,9.3,9.4,13.4,13.5,14.8,14.9
84.3,84.7,8.6,8.7,9.4,9.5,13.5,13.6,14.9,15.0
84.8,85.2,8.7,8.8,9.5,9.6,13.7,13.8,15.1,15.2
85.3,85.7,8.8,8.9,9.6,9.7,13.8,13.9,15.3,15.4
85.8,86.2,8.9,9.0,9.7,9.8,14.0,14.1,15.4,15.5
86.3,86.7,9.0,9.1,9.8,9.9,14.2,14.3,15.6,15.7
86.8,87.2,9.1,9.2,9.9,10.0,14.3,14.4,15.8,15.9
87.3,87.7,9.2,9.3,10.0,10.1,14.5,14.6,15.9,16.0
87.8,88.2,9.3,9.4,10.1,10.2,14.6,14.7,16.1,16.2
88.3,88.7,9.4,9.5,10.2,10.3,14.8,14.9,16.3,16.4
88.8,89.2,9.5,9.6,10.3,10.4,14.9,15.0,16.4,16.5
89.3,89.7,9.6,9.7,10.4,10.5,15.1,15.2,16.6,16.7
89.8,90.2,9.7,9.8,10.5,10.6,15.2,15.3,16.8,16.9
90.3,90.7,9.8,9.9,10.6,10.7,15.4,15.5,16.9,17.0
90.8,91.2,9.9,10.0,10.8,10.9,15.5,15.6,17.1,17.2
91.3,91.7,10.0,10.1,10.9,11.0,15.7,15.8,17.3,17.4
