age_month,severely_underweight,underweight_from,underweight_to,normal_from,normal_to,overweight
0,2.1,2.2,2.4,2.5,4.4,
1,2.9,3,3.3,3.4,5.8,
2,3.8,3.9,4.2,4.3,7.1,
3,4.4,4.5,4.9,5,8,
4,4.9,5,5.5,5.6,8.7,
5,5.3,5.4,5.9,6,9.3,
6,5.7,5.8,6.3,6.4,9.8,
7,5.9,6,6.6,6.7,10.3,
8,6.2,6.3,6.8,6.9,10.7,
9,6.4,6.5,7,7.1,11,
10,6.6,6.7,7.3,7.4,11.4,
11,6.8,6.9,7.5,7.6,11.7,
12,6.9,7,7.6,7.7,12,
13,7.1,7.2,7.8,7.9,12.3,
14,7.2,7.3,8,8.1,12.6,
15,7.4,7.5,8.2,8.3,12.8,
16,7.5,7.6,8.3,8.4,13.1,
17,7.7,7.8,8.5,8.6,13.4,
18,7.8,7.9,8.7,8.8,13.7,
19,8,8.1,8.8,8.9,13.9,
20,8.1,8.2,9,9.1,14.2,
21,8.2,8.3,9.1,9.2,14.5,
22,8.4,8.5,9.3,9.4,14.7,
23,8.5,8.6,9.4,9.5,15,
24,8.6,8.7,9.6,9.7,15.3,
25,8.8,8.9,9.7,9.8,15.5,
26,8.9,9,9.9,10,15.8,
27,9,9.1,10,10.1,16.1,
28,9.1,9.2,10.1,10.2,16.3,
29,9.2,9.3,10.3,10.4,16.6,
30,9.4,9.5,10.4,10.5,16.9,
31,9.5,9.6,10.6,10.7,17.1,
32,9.6,9.7,10.7,10.8,17.4,
33,9.7,9.8,10.8,10.9,17.6,
34,9.8,9.9,10.9,11,17.8,
35,9.9,10,11.1,11.2,18.1,
36,10,10.1,11.2,11.3,18.3,
37,10.1,10.2,11.3,11.4,18.6,
38,10.2,10.3,11.4,11.5,18.8,
39,10.3,10.4,11.5,11.6,19,
40,10.4,10.5,11.7,11.8,19.3,
41,10.5,10.6,11.8,11.9,19.5,
42,10.6,10.7,11.9,12,19.7,
43,10.7,10.8,12,12.1,20,
44,10.8,10.9,12.1,12.2,20.2,
45,10.9,11,12.3,12.4,20.5,
46,11,11.1,12.4,12.5,20.7,
47,11.1,11.2,12.5,12.6,20.9,
48,11.2,11.3,12.6,12.7,21.2,
49,11.3,11.4,12.7,12.8,21.4,
50,11.4,11.5,12.8,12.9,21.7,
51,11.5,11.6,13,13.1,21.9,
52,11.6,11.7,13.1,13.2,22.2,
53,11.7,11.8,13.2,13.3,22.4,
54,11.8,11.9,13.3,13.4,22.7,
55,11.9,12,13.4,13.5,22.9,
56,12,12.1,13.5,13.6,23.2,
57,12.1,12.2,13.6,13.7,23.4,
58,12.2,12.3,13.7,13.8,23.7,
59,12.3,12.4,13.9,14,23.9,
60,12.4,12.5,14,14.1,24.2,
61,12.7,12.8,14.3,14.4,24.3,
62,12.8,12.9,14.4,14.5,24.4,
63,13,13.1,14.5,14.6,24.7,
64,13.1,13.2,14.7,14.8,24.9,
65,13.2,13.3,14.8,14.9,25.2,
66,13.3,13.4,14.9,15,25.5,
67,13.4,13.5,15.1,15.2,25.7,
68,13.6,13.7,15.2,15.3,26,
69,13.7,13.8,15.3,15.4,26.3,
70,13.8,13.9,15.5,15.6,26.6,
71,13.9,14,15.6,15.7,26.8,
72,14.1,14.2,15.8,15.9,27.1,31.5
73,14.2,14.3,15.9,16,27.4,31.9
74,14.3,14.4,16.1,16.2,27.7,32.2
75,14.5,14.6,16.2,16.3,28,32.6
76,14.6,14.7,16.4,16.5,28.3,33
77,14.7,14.8,16.5,16.6,28.6,33.3
78,14.9,15,16.7,16.8,28.9,33.7
79,15,15.1,16.8,16.9,29.2,34.1
80,15.1,15.2,17,17.1,29.5,34.5
81,15.3,15.4,17.1,17.2,29.8,34.9
82,15.4,15.5,17.3,17.4,30.1,35.3
83,15.5,15.6,17.4,17.5,30.4,35.7
84,15.7,15.8,17.6,17.7,30.7,36.1
85,15.8,15.9,17.7,17.8,31,36.5
86,15.9,16,17.9,18,31.3,36.9
87,16.1,16.2,18,18.1,31.7,37.4
88,16.2,16.3,18.2,18.3,32,37.8
89,16.3,16.4,18.3,18.4,32.3,38.2
90,16.5,16.6,18.5,18.6,32.6,38.7
91,16.6,16.7,18.6,18.7,33,39.1
92,16.7,16.8,18.8,18.9,33.3,39.6
93,16.9,17,18.9,19,33.7,40.1
94,17,17.1,19.1,19.2,34,40.5
95,17.1,17.2,19.2,19.3,34.4,41
96,17.3,17.4,19.4,19.5,34.7,41.5
97,17.4,17.5,19.5,19.6,35.1,42
98,17.5,17.6,19.7,19.8,35.5,42.5
99,17.7,17.8,19.8,19.9,35.8,43.1
100,17.8,17.9,20,20.1,36.2,43.6
101,17.9,18,20.1,20.2,36.6,44.1
102,18.1,18.2,20.3,20.4,37,44.7
103,18.2,18.3,20.4,20.5,37.4,45.2
104,18.3,18.4,20.6,20.7,37.8,45.8
105,18.4,18.5,20.7,20.8,38.2,46.4
106,18.6,18.7,20.9,21,38.6,47
107,18.7,18.8,21,21.1,39,47.6
108,18.8,18.9,21.2,21.3,39.4,48.2
109,18.9,19,21.3,21.4,39.9,48.8
110,19.1,19.2,21.5,21.6,40.3,49.5
111,19.2,19.3,21.6,21.7,40.7,50.1
112,19.3,19.4,21.8,21.9,41.2,50.8
113,19.5,19.6,22,22.1,41.7,51.5
114,19.6,19.7,22.1,22.2,42.1,52.1
115,19.7,19.8,22.3,22.4,42.6,52.8
116,19.9,20,22.4,22.5,43.1,53.5
117,20,20.1,22.6,22.7,43.5,54.2
118,20.1,20.2,22.8,22.9,44,55
119,20.3,20.4,22.9,23,44.5,55.7
120,20.4,20.5,23.1,23.2,45,56.4
