age_month,severely_underweight,underweight_from,underweight_to,normal_from,normal_to,overweight
0,2,2.1,2.3,2.4,4.2,
1,2.7,2.8,3.1,3.2,5.5,
2,3.4,3.5,3.8,3.9,6.6,
3,4,4.1,4.4,4.5,7.5,
4,4.4,4.5,4.9,5,8.2,
5,4.8,4.9,5.3,5.4,8.8,
6,5.1,5.2,5.6,5.7,9.3,
7,5.3,5.4,5.9,6,9.8,
8,5.6,5.7,6.2,6.3,10.2,
9,5.8,5.9,6.4,6.5,10.5,
10,5.9,6,6.6,6.7,10.9,
11,6.1,6.2,6.8,6.9,11.2,
12,6.3,6.4,6.9,7,11.5,
13,6.4,6.5,7.1,7.2,11.8,
14,6.6,6.7,7.3,7.4,12.1,
15,6.7,6.8,7.5,7.6,12.4,
16,6.9,7,7.6,7.7,12.6,
17,7,7.1,7.8,7.9,12.9,
18,7.2,7.3,8,8.1,13.2,
19,7.3,7.4,8.1,8.2,13.5,
20,7.5,7.6,8.3,8.4,13.7,
21,7.6,7.7,8.5,8.6,14,
22,7.8,7.9,8.6,8.7,14.3,
23,7.9,8,8.8,8.9,14.6,
24,8.1,8.2,8.9,9,14.8,
25,8.2,8.3,9.1,9.2,15.1,
26,8.4,8.5,9.3,9.4,15.4,
27,8.5,8.6,9.4,9.5,15.7,
28,8.6,8.7,9.6,9.7,16,
29,8.8,8.9,9.7,9.8,16.2,
30,8.9,9,9.9,10,16.5,
31,9,9.1,10,10.1,16.8,
32,9.1,9.2,10.2,10.3,17.1,
33,9.3,9.4,10.3,10.4,17.3,
34,9.4,9.5,10.4,10.5,17.6,
35,9.5,9.6,10.6,10.7,17.9,
36,9.6,9.7,10.7,10.8,18.1,
37,9.7,9.8,10.8,10.9,18.4,
38,9.8,9.9,11,11.1,18.7,
39,9.9,10,11.1,11.2,19,
40,10.1,10.2,11.2,11.3,19.2,
41,10.2,10.3,11.4,11.5,19.5,
42,10.3,10.4,11.5,11.6,19.8,
43,10.4,10.5,11.6,11.7,20.1,
44,10.5,10.6,11.7,11.8,20.4,
45,10.6,10.7,11.9,12,20.7,
46,10.7,10.8,12,12.1,20.9,
47,10.8,10.9,12.1,12.2,21.2,
48,10.9,11,12.2,12.3,21.5,
49,11,11.1,12.3,12.4,21.8,
50,11.1,11.2,12.4,12.5,22.1,
51,11.2,11.3,12.6,12.7,22.4,
52,11.3,11.4,12.7,12.8,22.6,
53,11.4,11.5,12.8,12.9,22.9,
54,11.5,11.6,12.9,13,23.2,
55,11.6,11.7,13.1,13.2,23.5,
56,11.7,11.8,13.2,13.3,23.8,
57,11.8,11.9,13.3,13.4,24.1,
58,11.9,12,13.4,13.5,24.4,
59,12,12.1,13.5,13.6,24.6,
60,12.1,12.2,13.6,13.7,24.7,
61,12.4,12.5,13.9,14,24.8,
62,12.5,12.6,14,14.1,25.1,
63,12.6,12.7,14.1,14.2,25.4,
64,12.7,12.8,14.2,14.3,25.6,
65,12.8,12.9,14.3,14.4,25.9,
66,12.9,13,14.5,14.6,26.2,
67,13,13.1,14.6,14.7,26.5,
68,13.1,13.2,14.7,14.8,26.7,
69,13.2,13.3,14.8,14.9,27,
70,13.3,13.4,14.9,15,27.3,
71,13.4,13.5,15.1,15.2,27.6,
72,13.5,13.6,15.2,15.3,27.8,33.4
73,13.6,13.7,15.3,15.4,28.1,33.8
74,13.7,13.8,15.4,15.5,28.4,34.2
75,13.8,13.9,15.5,15.6,28.7,34.6
76,13.9,14,15.7,15.8,29,35
77,14,14.1,15.8,15.9,29.3,35.4
78,14.1,14.2,15.9,16,29.6,35.8
79,14.2,14.3,16,16.1,29.9,36.2
80,14.3,14.4,16.2,16.3,30.2,36.6
81,14.4,14.5,16.3,16.4,30.5,37
82,14.5,14.6,16.4,16.5,30.8,37.4
83,14.6,14.7,16.5,16.6,31.1,37.8
84,14.8,14.9,16.7,16.8,31.4,38.3
85,14.9,15,16.8,16.9,31.8,38.7
86,15,15.1,17,17.1,32.1,39.2
87,15.1,15.2,17.1,17.2,32.5,39.6
88,15.2,15.3,17.2,17.3,32.8,40.1
89,15.4,15.5,17.4,17.5,33.1,40.6
90,15.5,15.6,17.5,17.6,33.5,41.1
91,15.6,15.7,17.7,17.8,33.9,41.5
92,15.7,15.8,17.8,17.9,34.2,42
93,15.9,16,18,18.1,34.6,42.6
94,16,16.1,18.2,18.3,35,43.1
95,16.2,16.3,18.3,18.4,35.4,43.6
96,16.3,16.4,18.5,18.6,35.8,44.1
97,16.4,16.5,18.7,18.8,36.2,44.7
98,16.6,16.7,18.8,18.9,36.6,45.2
99,16.7,16.8,19,19.1,37,45.8
100,16.9,17,19.2,19.3,37.4,46.3
101,17,17.1,19.4,19.5,37.8,46.9
102,17.2,17.3,19.5,19.6,38.3,47.5
103,17.3,17.4,19.7,19.8,38.7,48.1
104,17.5,17.6,19.9,20,39.1,48.7
105,17.7,17.8,20.1,20.2,39.6,49.3
106,17.8,17.9,20.3,20.4,40,49.9
107,18,18.1,20.5,20.6,40.5,50.5
108,18.1,18.2,20.7,20.8,41,51.1
109,18.3,18.4,20.9,21,41.4,51.8
110,18.5,18.6,21.1,21.2,41.9,52.4
111,18.7,18.8,21.3,21.4,42.4,53.1
112,18.8,18.9,21.5,21.6,42.9,53.7
113,19,19.1,21.7,21.8,43.3,54.4
114,19.2,19.3,21.9,22,43.8,55
115,19.4,19.5,22.1,22.2,44.3,55.7
116,19.5,19.6,22.3,22.4,44.8,56.4
117,19.7,19.8,22.5,22.6,45.3,57.1
118,19.9,20,22.7,22.8,45.8,57.8
119,20.1,20.2,22.9,23,46.4,58.5
120,20.3,20.4,23.2,23.3,46.9,59.2
