age_month,severly_wasted,wasted_from,wasted_to,normal_from,normal_to,overweight_from,overweight_to
65,5.5,5.6,6,6.1,8.7,8.8,9.7,9.8
65.5,5.6,5.7,6.1,6.2,8.9,9,9.8,9.9
66,5.7,5.8,6.2,6.3,9,9.1,10,10.1
66.5,5.7,5.8,6.3,6.4,9.1,9.2,10.1,10.2
67,5.8,5.9,6.3,6.4,9.3,9.4,10.2,10.3
67.5,5.9,6,6.4,6.5,9.4,9.5,10.4,10.5
68,6,6.1,6.5,6.6,9.5,9.6,10.5,10.6
68.5,6.1,6.2,6.6,6.7,9.7,9.8,10.7,10.8
69,6.2,6.3,9.7,9.8,9.9,9.9,10.8,10.9
69.5,6.2,6.3,6.8,6.9,9.9,10,10.9,11
70,6.3,6.4,6.9,7,10,10.1,11.1,11.2
70.5,6.4,6.5,7,7.1,10.1,10.2,11.2,11.3
71,6.5,6.6,7,7.1,10.3,10.4,11.3,11.4
71.5,6.6,6.7,7.1,7.2,10.4,10.5,11.5,11.6
72,6.6,6.7,7.2,7.3,10.5,10.6,11.6,11.7
72.5,6.7,6.8,7.3,7.4,10.6,10.7,11.7,11.8
73,6.8,6.9,7.4,7.5,10.7,10.8,11.8,11.9
73.5,6.9,7,7.5,7.6,10.8,10.9,12,12.1
74,6.9,7,7.5,7.6,11,11.1,12.1,12.2
74.5,7,7.1,7.6,7.7,11.1,11.2,12.2,12.3
75,7.1,7.2,7.7,7.8,11.2,11.3,12.3,12.4
75.5,7.1,7.2,7.8,7.9,11.3,11.4,12.5,12.6
76,7.2,7.3,7.9,8,11.4,11.5,12.6,12.7
76.5,7.3,7.4,7.9,8,11.5,11.6,12.7,12.8
77,7.4,7.5,8,8.1,11.6,11.7,12.8,12.9
77.5,7.4,7.5,8.1,8.2,11.7,11.8,12.9,13
78,7.5,7.6,8.2,8.3,11.8,11.9,13.1,13.2
78.5,7.6,7.7,8.3,8.4,12,12.1,13.2,13.3
79,7.7,7.8,8.3,8.4,12.1,12.2,13.3,13.4
79.5,7.7,7.8,8.4,8.5,12.2,12.3,13.4,13.5
80,7.8,7.9,8.5,8.6,12.3,12.4,13.6,13.7
80.5,7.9,8,8.6,8.7,12.4,12.5,13.7,13.8
81,8,8.1,8.7,8.8,12.6,12.7,13.9,14
81.5,8.1,8.2,8.8,8.9,12.7,12.8,14,14.1
82,8.2,8.3,8.9,9,12.8,12.9,14.1,14.2
82.5,8.3,8.4,9,9.1,13,13.1,14.3,14.4
83,8.4,8.5,9.1,9.2,13.1,13.2,14.5,14.6
83.5,8.4,8.5,9.2,9.3,13.3,13.4,14.6,14.7
84,8.5,8.6,9.3,9.4,13.4,13.5,14.8,14.9
84.5,8.6,8.7,9.4,9.5,13.5,13.6,14.9,15
85,8.7,8.8,9.5,9.6,13.7,13.8,15.1,15.2
85.5,8.8,8.9,9.6,9.7,13.8,13.9,15.3,15.4
86,8.9,9,9.7,9.8,14,14.1,15.4,15.5
86.5,9,9.1,9.8,9.9,14.2,14.3,15.6,15.7
87,9.1,9.2,9.9,10,14.3,14.4,15.8,15.9
87.5,9.2,9.3,10,10.1,14.5,14.6,15.9,16
88,9.3,9.4,10.1,10.2,14.6,14.7,16.1,16.2
88.5,9.4,9.5,10.2,10.3,14.8,14.9,16.3,16.4
89,9.5,9.6,10.3,10.4,14.9,15,16.4,16.5
89.5,9.6,9.7,10.4,10.5,15.1,15.2,16.6,16.7
90,9.7,9.8,10.5,10.6,15.2,15.3,16.8,16.9
90.5,9.8,9.9,10.6,10.7,15.4,15.5,16.9,17
91,9.9,10,10.8,10.9,15.5,15.6,17.1,17.2
91.5,10,10.1,10.9,11,15.7,15.8,17.3,17.4
92,10.1,10.2,11,11.1,15.8,15.9,17.4,17.5
