age_in_months,severely_stunted,stunted_from,stunted_to,normal_from,normal_to,tall
72,101.2,101.3,106,106.1,125.8,130.7
73,101.6,101.7,106.4,106.5,126.4,131.3
74,102,102.1,106.9,107,126.9,131.9
75,102.4,102.5,107.3,107.4,127.5,132.5
76,102.8,102.9,107.7,107.8,128,133
77,103.2,103.3,108.1,108.2,128.5,133.6
78,103.6,103.7,108.6,108.7,129.1,134.2
79,103.9,104,109,109.1,129.6,134.8
80,104.3,104.4,109.4,109.5,130.2,135.3
81,104.7,104.8,109.8,109.9,130.7,135.9
82,105.1,105.2,110.2,110.3,131.2,136.5
83,105.5,105.6,110.7,110.8,131.8,137
84,105.9,106,111.1,111.2,132.3,137.6
85,106.3,106.4,111.5,111.6,132.8,138.2
86,106.6,106.7,111.9,112,133.4,138.7
87,107,107.1,112.3,112.4,133.9,139.3
88,107.4,107.5,112.7,112.8,134.4,139.8
89,107.8,107.9,113.1,113.2,134.9,140.4
90,108.1,108.2,113.5,113.6,135.5,140.9
91,108.5,108.6,113.9,114,136,141.5
92,108.9,109,114.3,114.4,136.5,142
93,109.2,109.3,114.7,114.8,137,142.6
94,109.6,109.7,115.1,115.2,137.5,143.1
95,110,110.1,115.5,115.6,138.1,143.7
96,110.3,110.4,115.9,116,138.6,144.2
97,110.7,110.8,116.3,116.4,139.1,144.7
98,111,111.1,116.6,116.7,139.6,145.3
99,111.4,111.5,117,117.1,140.1,145.8
100,111.7,111.8,117.4,117.5,140.6,146.4
101,112.1,112.2,117.8,117.9,141.1,146.9
102,112.4,112.5,118.2,118.3,141.6,147.4
103,112.8,112.9,118.6,118.7,142.1,148
104,113.1,113.2,118.9,119,142.6,148.5
105,113.5,113.6,119.3,119.4,143.1,149
106,113.8,113.9,119.7,119.8,143.6,149.5
107,114.2,114.3,120.1,120.2,144.1,150.1
108,114.5,114.6,120.4,120.5,144.6,150.6
109,114.9,115,120.8,120.9,145.1,151.1
110,115.2,115.3,121.2,121.3,145.6,151.7
111,115.6,115.7,121.6,121.7,146.1,152.2
112,115.9,116,121.9,122,146.6,152.7
113,116.3,116.4,122.3,122.4,147.1,153.2
114,116.6,116.7,122.7,122.8,147.6,153.8
115,116.9,117,123.1,123.2,148.1,154.3
116,117.3,117.4,123.4,123.5,148.6,154.8
117,117.6,117.7,123.8,123.9,149.1,155.3
118,118,118.1,124.2,124.3,149.5,155.9
119,118.3,118.4,124.6,124.7,150,156.4
120,118.7,118.8,124.9,125,150.5,156.9
