age_in_months,severely_underweight,underweight_from,underweight_to,normal_from,normal_to,overweight
72,14.1,14.2,15.8,15.9,27.1,31.5
73,14.2,14.3,15.9,16,27.4,31.9
74,14.3,14.4,16.1,16.2,27.7,32.2
75,14.5,14.6,16.2,16.3,28,32.6
76,14.6,14.7,16.4,16.5,28.3,33
77,14.7,14.8,16.5,16.6,28.6,33.3
78,14.9,15,16.7,16.8,28.9,33.7
79,15,15.1,16.8,16.9,29.2,34.1
80,15.1,15.2,17,17.1,29.5,34.5
81,15.3,15.4,17.1,17.2,29.8,34.9
82,15.4,15.5,17.3,17.4,30.1,35.3
83,15.5,15.6,17.4,17.5,30.4,35.7
84,15.7,15.8,17.6,17.7,30.7,36.1
85,15.8,15.9,17.7,17.8,31,36.5
86,15.9,16,17.9,18,31.3,36.9
87,16.1,16.2,18,18.1,31.7,37.4
88,16.2,16.3,18.2,18.3,32,37.8
89,16.3,16.4,18.3,18.4,32.3,38.2
90,16.5,16.6,18.5,18.6,32.6,38.7
91,16.6,16.7,18.6,18.7,33,39.1
92,16.7,16.8,18.8,18.9,33.3,39.6
93,16.9,17,18.9,19,33.7,40.1
94,17,17.1,19.1,19.2,34,40.5
95,17.1,17.2,19.2,19.3,34.4,41
96,17.3,17.4,19.4,19.5,34.7,41.5
97,17.4,17.5,19.5,19.6,35.1,42
98,17.5,17.6,19.7,19.8,35.5,42.5
99,17.7,17.8,19.8,19.9,35.8,43.1
100,17.8,17.9,20,20.1,36.2,43.6
101,17.9,18,20.1,20.2,36.6,44.1
102,18.1,18.2,20.3,20.4,37,44.7
103,18.2,18.3,20.4,20.5,37.4,45.2
104,18.3,18.4,20.6,20.7,37.8,45.8
105,18.4,18.5,20.7,20.8,38.2,46.4
106,18.6,18.7,20.9,21,38.6,47
107,18.7,18.8,21,21.1,39,47.6
108,18.8,18.9,21.2,21.3,39.4,48.2
109,18.9,19,21.3,21.4,39.9,48.8
110,19.1,19.2,21.5,21.6,40.3,49.5
111,19.2,19.3,21.6,21.7,40.7,50.1
112,19.3,19.4,21.8,21.9,41.2,50.8
113,19.5,19.6,22,22.1,41.7,51.5
114,19.6,19.7,22.1,22.2,42.1,52.1
115,19.7,19.8,22.3,22.4,42.6,52.8
116,19.9,20,22.4,22.5,43.1,53.5
117,20,20.1,22.6,22.7,43.5,54.2
118,20.1,20.2,22.8,22.9,44,55
119,20.3,20.4,22.9,23,44.5,55.7
120,20.4,20.5,23.1,23.2,45,56.4
